n_elements,mean_atomic_number,std_atomic_number,range_atomic_number,mean_electronegativity,std_electronegativity,range_electronegativity,mean_atomic_radius,std_atomic_radius,range_atomic_radius,frac_H,frac_Li,frac_C,frac_N,frac_O,frac_F,frac_Na,frac_Mg,frac_Al,frac_Si,frac_P,frac_S,frac_Cl,frac_K,frac_Ca,frac_Ti,frac_V,frac_Cr,frac_Mn,frac_Fe,frac_Co,frac_Ni,frac_Cu,frac_Zn,frac_Ga,frac_As,frac_Br,frac_Sr,frac_Nb,frac_Mo,e_form_per_atom,reduced_formula
4,17.583333333333336,19.85975131320184,64.0,3.5825,0.8896827618126962,2.48,0.6508333333333333,0.5222620404441518,1.58,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.248770304120513,TaCdBF10
3,48.5,0.5,1.0,1.7349999999999999,0.04500000000000004,0.09000000000000008,1.585,0.025000000000000022,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3031398770833338,CdInRh2
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6650128449999997,URh3
5,13.399999999999999,7.266360849833981,27.0,2.7066,0.8559243190843452,2.51,0.9048,0.5150154949125317,1.42,0.0,0.0,0.0,0.0,0.56,0.0,0.02,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,-2.611809498199999,NaCr12Si8BrO28
5,8.538461538461538,5.637994523633444,22.0,2.562307692307692,1.0402304023344195,2.46,0.8946153846153846,0.5245161196410588,1.19,0.0,0.23076923076923078,0.07692307692307693,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.398933020046373,Li3MnPCO7
4,13.3,9.747307320486001,22.0,1.946,1.0061232528870407,2.46,1.2890000000000001,0.5301971331495484,1.19,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4759809515437685,Li3Mn4(BO3)4
5,8.714285714285714,4.963129361725773,20.0,3.097857142857143,0.7006239930175363,2.15,0.6214285714285713,0.28251061023961416,1.1400000000000001,0.0,0.0,0.375,0.0,0.1875,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8328187888197105,FeB2C6(O3F4)2
3,15.857142857142856,9.156240205121179,21.0,2.6799999999999997,0.8841945487278238,1.89,0.9414285714285714,0.5350948800093727,1.1300000000000001,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.669754084131429,Mn2CuO4
5,19.5,13.683932183404009,34.0,2.6,1.2218837915284744,3.16,1.3074999999999999,0.8779913154467988,2.0100000000000002,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,-2.5621736791009644,KRb2Mo(OF)3
4,32.142857142857146,17.02459205660675,48.0,1.7657142857142858,0.8068608862721742,2.55,1.5400000000000003,0.7010807982781198,2.05,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,-1.4098446290873012,Ba2Zn3(PO)2
